# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "index/reference.gff" "-o" "counts.txt" "bam/SRR10379724.bam" "bam/SRR10379725.bam" "bam/SRR10379726.bam" "bam/SRR10379721.bam" "bam/SRR10379722.bam" "bam/SRR10379723.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR10379724.bam	bam/SRR10379725.bam	bam/SRR10379726.bam	bam/SRR10379721.bam	bam/SRR10379722.bam	bam/SRR10379723.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	14120	19569	3990	20678	17047	13186
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	12125	15034	2119	15976	12174	11155
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	1375	1016	126	1622	1213	874
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	7582	6709	839	13994	11418	9933
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	12046	12073	3492	29539	26379	24185
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	18910	12471	4001	45169	33351	32195
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	3552	5008	1208	7039	4917	4753
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	1358	1972	311	3221	2562	2419
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	40247	77893	13348	2467	1979	1432
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	2154	4633	273	353	302	274
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	1161	2752	299	210	175	171
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	4711	8955	1895	1351	1315	999
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	7026	8905	1176	4655	3433	3543
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	20876	25792	5822	25865	21834	22438
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	5238	6496	1042	6389	5531	5664
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	14311	19500	6291	11773	10372	8760
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	8575	5225	3218	7007	6279	6876
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	47	7	130	86	42	38
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	229	31	200	370	361	159
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	3918	5993	921	3874	3551	2698
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	11363	13107	6165	12378	10600	8368
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	10257	12036	1989	12999	11016	9137
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	6826	8127	2075	9543	7827	7311
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	1344	1082	373	2795	1710	1851
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	1241	1550	675	2873	2071	2138
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	17	21	2	105	50	114
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	324	527	146	378	330	288
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	30	40	7	12	17	12
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	18	9	3	1	3	7
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	2385	3944	296	1582	1159	1334
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	2106	2327	325	28563	18112	29748
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	22	40	18	57	28	128
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	1466	1161	149	14292	9538	16213
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	332	323	20	3690	2781	3282
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	1015	473	39	24767	16411	25479
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	2067	1140	283	46774	32714	48401
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	8533	8156	3304	45173	29474	42561
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	228	164	21	384	302	274
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	3478	4314	2013	4202	3781	3012
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	33	51	6	40	30	38
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	455	635	68	753	581	581
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	1005	1112	140	1965	1403	1598
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	268	223	33	782	540	618
